"Home Team","Away Team","Match Date","Home Goals","Away Goals","H Shots","H Shots - Target","A Shots","A Shots - Target","Division","Season"
"Everton","Swansea","12-JAN-13","0","0","16","8","4","2","1","2012"
"Sunderland","West Ham","12-JAN-13","3","0","18","14","9","4","1","2012"
"Fulham","Wigan","12-JAN-13","1","1","14","5","15","6","1","2012"
"Aston Villa","Southampton","12-JAN-13","0","1","16","10","11","4","1","2012"
"Newcastle","Everton","02-JAN-13","1","2","14","11","7","6","1","2012"
"Liverpool","Sunderland","02-JAN-13","3","0","27","16","6","5","1","2012"
"Chelsea","QPR","02-JAN-13","0","1","23","11","8","5","1","2012"
"Swansea","Aston Villa","01-JAN-13","2","2","23","13","8","6","1","2012"
"Tottenham","Reading","01-JAN-13","3","1","30","20","7","4","1","2012"
"West Ham","Norwich","01-JAN-13","2","1","14","8","9","3","1","2012"
"Southampton","Arsenal","01-JAN-13","1","1","9","6","6","4","1","2012"
"Wigan","Man United","01-JAN-13","0","4","7","3","14","9","1","2012"
"Man City","Stoke","01-JAN-13","3","0","17","9","4","3","1","2012"
"West Brom","Fulham","01-JAN-13","1","2","17","10","10","5","1","2012"
"QPR","Liverpool","30-DEC-12","0","3","14","7","16","11","1","2012"
"Everton","Chelsea","30-DEC-12","1","2","12","6","15","10","1","2012"
"Arsenal","Newcastle","29-DEC-12","7","3","16","12","10","8","1","2012"
"Norwich","Man City","29-DEC-12","3","4","13","8","13","9","1","2012"
"Stoke","Southampton","29-DEC-12","3","3","10","8","8","7","1","2012"
"Reading","West Ham","29-DEC-12","1","0","3","2","11","3","1","2012"
"Man United","West Brom","29-DEC-12","2","0","17","14","13","9","1","2012"
"Sunderland","Tottenham","29-DEC-12","1","2","9","6","18","14","1","2012"
"Fulham","Swansea","29-DEC-12","1","2","22","13","10","9","1","2012"
"Aston Villa","Wigan","29-DEC-12","0","3","11","4","9","6","1","2012"
"Everton","Wigan","26-DEC-12","2","1","17","9","10","6","1","2012"
"Aston Villa","Tottenham","26-DEC-12","0","4","4","1","20","16","1","2012"
"Stoke","Liverpool","26-DEC-12","3","1","7","6","12","6","1","2012"
"Man United","Newcastle","26-DEC-12","4","3","16","10","16","11","1","2012"
"QPR","West Brom","26-DEC-12","1","2","18","8","12","6","1","2012"
"Norwich","Chelsea","26-DEC-12","0","1","8","4","20","11","1","2012"
"Fulham","Southampton","26-DEC-12","1","1","10","2","7","3","1","2012"
"Reading","Swansea","26-DEC-12","0","0","3","2","10","4","1","2012"
"Sunderland","Man City","26-DEC-12","1","0","12","6","19","12","1","2012"
"Swansea","Man United","23-DEC-12","1","1","14","10","19","16","1","2012"
"Chelsea","Aston Villa","23-DEC-12","8","0","24","18","7","4","1","2012"
"Newcastle","QPR","22-DEC-12","1","0","18","8","5","4","1","2012"
"Man City","Reading","22-DEC-12","1","0","17","10","6","1","1","2012"
"West Ham","Everton","22-DEC-12","1","2","6","5","15","8","1","2012"
"West Brom","Norwich","22-DEC-12","2","1","12","8","10","4","1","2012"
"Liverpool","Fulham","22-DEC-12","4","0","22","12","7","6","1","2012"
"Wigan","Arsenal","22-DEC-12","0","1","13","5","10","8","1","2012"
"Southampton","Sunderland","22-DEC-12","0","1","13","7","10","6","1","2012"
"Tottenham","Stoke","22-DEC-12","0","0","21","14","4","2","1","2012"
"Reading","Arsenal","17-DEC-12","2","5","7","5","25","17","1","2012"
"Tottenham","Swansea","16-DEC-12","1","0","24","16","4","0","1","2012"
"West Brom","West Ham","16-DEC-12","0","0","19","10","10","2","1","2012"
"Man United","Sunderland","15-DEC-12","3","1","15","6","13","10","1","2012"
"Newcastle","Man City","15-DEC-12","1","3","17","8","16","10","1","2012"
"Norwich","Wigan","15-DEC-12","2","1","16","10","12","6","1","2012"
"QPR","Fulham","15-DEC-12","2","1","19","9","6","3","1","2012"
"Stoke","Everton","15-DEC-12","1","1","14","8","9","5","1","2012"
"Liverpool","Aston Villa","15-DEC-12","1","3","26","17","9","6","1","2012"
"Sunderland","Reading","11-DEC-12","3","0","16","11","12","5","1","2012"
"Fulham","Newcastle","10-DEC-12","2","1","16","7","20","13","1","2012"
"Man City","Man United","09-DEC-12","2","3","16","11","8","3","1","2012"
"West Ham","Liverpool","09-DEC-12","2","3","9","6","16","8","1","2012"
"Everton","Tottenham","09-DEC-12","2","1","17","11","8","6","1","2012"
"Aston Villa","Stoke","08-DEC-12","0","0","9","5","1","0","1","2012"
"Sunderland","Chelsea","08-DEC-12","1","3","14","10","11","5","1","2012"
"Wigan","QPR","08-DEC-12","2","2","14","9","8","4","1","2012"
